Admission grade,Age at enrollment,Application Mode,Application order,Course,Curricular units 1st sem (approved),Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Daytime/evening attendance,Debtor,Displaced,Educational special needs,Father's occupation,Father's qualification,Sum of GDP,Gender,Inflation rate,International,Marital status,Mother's occupation,Mother's qualification,Nationality Desc,Previous qualification,Previous qualification (grade),Scholarship holder,Target,Tuition fees up to date,Unemployment rate
147,22,1st phase - general contingent,1,Advertising and Marketing Management,2,0,5,6,12.5,0,0,0,5,5,0,0,Daytime,No,No,No,Administrative staff,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,-3.12,Female,-0.8,No,Single,Student,Unknown,Portuguese,Secondary education,133.1,No,Dropout,Yes,9.4
260.6,36,1st phase - general contingent,2,Advertising and Marketing Management,12,0,12,16,28,0,12,0,12,14,26.42857143,0,Daytime,No,No,No,Administrative staff,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,4.04,Female,1.2,No,Single,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,283,Yes,Graduate,Yes,22.2
116.1,19,1st phase - general contingent,2,Advertising and Marketing Management,6,0,6,10,13.125,0,6,0,6,9,12.71428571,0,Daytime,No,No,No,Administrative staff,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,2.02,Male,0.6,No,Single,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,122,Yes,Enrolled,Yes,11.1
95,19,1st phase - general contingent,1,Advertising and Marketing Management,0,0,6,7,0,0,0,0,6,6,0,0,Daytime,No,No,No,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,-4.06,Male,2.8,No,Single,Administrative staff,Higher Education - Degree,Portuguese,Secondary education,133.1,No,Dropout,Yes,15.5
122.6,21,1st phase - general contingent,1,Advertising and Marketing Management,5,0,5,7,11.16666667,0,4,0,5,5,11,0,Daytime,No,No,No,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,-3.12,Male,-0.8,No,Single,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,125,No,Dropout,Yes,9.4
139,21,1st phase - general contingent,1,Advertising and Marketing Management,5,0,6,6,12.8,0,5,0,6,9,12.25,0,Daytime,No,No,No,Armed Forces Professions,Basic education 1st cycle (4th/5th year) or equivalent,1.74,Male,1.4,No,Single,Unskilled Workers,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,133.1,No,Enrolled,Yes,10.8
100,20,1st phase - general contingent,1,Advertising and Marketing Management,6,0,6,8,12.5,0,5,0,6,10,14.16666667,0,Daytime,No,No,No,Armed Forces Professions,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,2.02,Female,0.6,No,Single,Unskilled Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,100,No,Graduate,Yes,11.1
128.4,23,1st phase - general contingent,1,Advertising and Marketing Management,6,0,6,11,11.875,0,5,0,6,9,12.83333333,0,Daytime,No,No,No,Armed Forces Professions,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,2.02,Female,0.6,No,Single,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,142,No,Dropout,Yes,11.1
121.4,19,1st phase - general contingent,2,Advertising and Marketing Management,3,0,5,7,12.33333333,0,5,0,5,5,11.6,0,Daytime,No,No,No,Armed Forces Professions,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,-3.12,Male,-0.8,No,Single,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,135,No,Graduate,Yes,9.4
127.2,18,1st phase - general contingent,1,Advertising and Marketing Management,3,0,5,7,12.66666667,0,4,0,5,5,12.5,0,Daytime,No,No,No,Farmers and Skilled Agriculture/Fisheries/Forestry Workers,Basic education 1st cycle (4th/5th year) or equivalent,-3.12,Female,-0.8,No,Single,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,Portuguese,Secondary education,131,Yes,Enrolled,Yes,9.4
95,21,1st phase - general contingent,1,Advertising and Marketing Management,4,0,6,9,13.25,0,5,0,6,6,11,0,Daytime,No,No,No,Installation and Machine Operators and Assembly Workers,Basic education 1st cycle (4th/5th year) or equivalent,-1.7,Male,3.7,No,Single,"Personal Services, Security and Safety Workers and Sellers",Basic education 1st cycle (4th/5th year) or equivalent,Portuguese,Secondary education,95,No,Dropout,No,12.7
115.1,19,1st phase - general contingent,1,Advertising and Marketing Management,3,0,6,8,11.66666667,0,5,0,6,11,13.625,0,Daytime,No,No,No,Installation and Machine Operators and Assembly Workers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,1.74,Female,1.4,No,Single,Administrative staff,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,120,No,Enrolled,Yes,10.8
125.5,19,1st phase - general contingent,1,Advertising and Marketing Management,6,0,6,6,13.83333333,0,6,0,6,7,14.28571429,0,Daytime,No,No,No,Installation and Machine Operators and Assembly Workers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,3.51,Female,1.4,No,Single,Unskilled Workers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,123,Yes,Graduate,No,8.9
132.9,19,1st phase - general contingent,5,Advertising and Marketing Management,4,0,5,5,12.5,0,4,0,5,5,14.25,0,Daytime,No,No,No,Intermediate Level Technicians and Professions,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,0.32,Male,2.6,No,Single,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,142,No,Graduate,Yes,7.6
133.3,19,1st phase - general contingent,2,Advertising and Marketing Management,5,0,5,5,13,0,5,0,5,5,13.2,0,Daytime,No,No,No,Intermediate Level Technicians and Professions,Higher Education - Degree,-3.12,Female,-0.8,No,Single,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,135,No,Graduate,Yes,9.4
118.2,19,1st phase - general contingent,1,Advertising and Marketing Management,6,0,6,6,13.16666667,0,6,0,6,9,13,0,Daytime,No,No,No,Legislative/Executive Directors and Managers,Secondary Education - 12th Year of Schooling or Equivalent,1.74,Female,1.4,No,Single,Administrative staff,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,128,No,Dropout,Yes,10.8
118.8,18,1st phase - general contingent,1,Advertising and Marketing Management,6,0,6,6,14.5,0,6,0,6,8,13.66666667,0,Daytime,No,No,No,"Personal Services, Security and Safety Workers and Sellers",Basic education 1st cycle (4th/5th year) or equivalent,-1.7,Female,3.7,No,Single,Administrative staff,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,130,Yes,Graduate,Yes,12.7
124,19,1st phase - general contingent,1,Advertising and Marketing Management,6,0,6,7,14.85714286,0,6,0,6,6,13.33333333,0,Daytime,No,No,No,"Personal Services, Security and Safety Workers and Sellers",Basic education 1st cycle (4th/5th year) or equivalent,1.79,Female,0.5,No,Single,"Personal Services, Security and Safety Workers and Sellers",Basic education 1st cycle (4th/5th year) or equivalent,Portuguese,Secondary education,125,No,Graduate,Yes,12.4
109,19,1st phase - general contingent,1,Advertising and Marketing Management,6,0,6,7,13.14285714,0,6,0,6,8,14.16666667,0,Daytime,No,No,No,"Personal Services, Security and Safety Workers and Sellers",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,-4.06,Male,2.8,No,Single,Administrative staff,Higher Education - Degree,Portuguese,Secondary education,110,Yes,Graduate,Yes,15.5
105.4,20,1st phase - general contingent,3,Advertising and Marketing Management,5,0,5,6,13.33333333,0,5,0,5,6,13.2,0,Daytime,No,No,No,"Personal Services, Security and Safety Workers and Sellers",Secondary Education - 12th Year of Schooling or Equivalent,0.32,Female,2.6,No,Single,"Personal Services, Security and Safety Workers and Sellers",Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,111,No,Graduate,Yes,7.6
139.5,20,1st phase - general contingent,1,Advertising and Marketing Management,6,0,6,7,14.83333333,0,6,0,6,6,14.83333333,0,Daytime,No,No,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic education 1st cycle (4th/5th year) or equivalent,-1.7,Male,3.7,No,Single,Administrative staff,Higher Education - Degree,Portuguese,Secondary education,150,Yes,Graduate,Yes,12.7
121.4,21,1st phase - general contingent,1,Advertising and Marketing Management,4,0,5,7,11.5,0,4,0,5,6,11.75,0,Daytime,No,No,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic education 1st cycle (4th/5th year) or equivalent,-3.12,Male,-0.8,No,Single,"Personal Services, Security and Safety Workers and Sellers",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,135,No,Graduate,Yes,9.4
119.1,20,1st phase - general contingent,1,Advertising and Marketing Management,4,0,5,7,11,0,4,0,5,7,11.5,0,Daytime,No,No,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic education 1st cycle (4th/5th year) or equivalent,-3.12,Male,-0.8,No,Single,"Personal Services, Security and Safety Workers and Sellers",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,124,Yes,Graduate,Yes,9.4
125.7,20,1st phase - general contingent,1,Advertising and Marketing Management,6,0,6,9,13.57142857,0,5,0,6,10,13.6,0,Daytime,No,No,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,-4.06,Female,2.8,No,Single,"Skilled Workers in Industry, Construction and Craftsmen",Basic education 1st cycle (4th/5th year) or equivalent,Portuguese,Secondary education,126,No,Enrolled,Yes,15.5
